Country,ISC11_LEVEL_CAT,Time,STR
KOR,L0,2018,8.481
KOR,L1,2013,17.305999999999997
KOR,L1,2014,16.862000000000002
KOR,L1,2015,16.787
KOR,L1,2016,16.465999999999998
KOR,L1,2017,16.421
KOR,L1,2018,16.506
KOR,L2,2013,17.506
KOR,L2,2014,16.587
KOR,L2,2015,15.667
KOR,L2,2016,14.663
KOR,L2,2017,13.994000000000002
KOR,L2,2018,13.459000000000001
KOR,L3,2013,15.085
KOR,L3,2014,14.534
KOR,L3,2015,14.09
KOR,L3,2016,13.761
KOR,L3,2017,13.190999999999999
KOR,L3,2018,12.249
KOR,L5T8,2013,
KOR,L5T8,2014,
KOR,L5T8,2015,
KOR,L5T8,2016,
KOR,L5T8,2017,
KOR,L5T8,2018,
LVA,L0,2013,13.748
LVA,L0,2014,10.857000000000001
LVA,L0,2015,10.099
LVA,L0,2016,9.729
LVA,L0,2017,9.825
LVA,L0,2018,8.887
LVA,L1,2013,11.162
LVA,L1,2014,11.091
LVA,L1,2015,11.133
LVA,L1,2016,11.33
LVA,L1,2017,12.075
LVA,L1,2018,11.997
LVA,L2,2013,7.803999999999999
LVA,L2,2014,7.638
LVA,L2,2015,7.724
LVA,L2,2016,7.82
LVA,L2,2017,8.394
LVA,L2,2018,8.565
LVA,L3,2013,10.193999999999999
LVA,L3,2014,10.042
LVA,L3,2015,9.748
LVA,L3,2016,9.829
LVA,L3,2017,10.419
LVA,L3,2018,10.667
LVA,L5T8,2013,19.522000000000002
LVA,L5T8,2014,18.902
LVA,L5T8,2015,18.722
LVA,L5T8,2016,18.365
LVA,L5T8,2017,16.56
LVA,L5T8,2018,16.331
LTU,L0,2005,8.867
LTU,L0,2010,8.543
LTU,L0,2011,8.607999999999999
LTU,L0,2012,8.459
LTU,L0,2013,9.997
LTU,L0,2014,10.405999999999999
LTU,L0,2015,10.538
LTU,L0,2016,10.376
LTU,L0,2017,10.83
LTU,L0,2018,10.3
LTU,L1,2013,10.189
LTU,L1,2014,10.232999999999999
LTU,L1,2015,10.255999999999998
LTU,L1,2016,10.47
LTU,L1,2017,10.619000000000002
LTU,L1,2018,11.22
LTU,L2,2013,7.617999999999999
LTU,L2,2014,7.42
LTU,L2,2015,7.313
LTU,L2,2016,7.311
LTU,L2,2017,7.332999999999999
LTU,L2,2018,7.635
LTU,L3,2013,8.036
LTU,L3,2014,8.091000000000001
LTU,L3,2015,8.081
LTU,L3,2016,7.659
LTU,L3,2017,7.985
LTU,L3,2018,8.035
LTU,L5T8,2013,16.570999999999998
LTU,L5T8,2014,16.074
LTU,L5T8,2015,16.451
LTU,L5T8,2016,16.277
LTU,L5T8,2017,16.23
LTU,L5T8,2018,14.373
LUX,L0,2005,
LUX,L0,2010,
LUX,L0,2011,
LUX,L0,2012,
LUX,L0,2013,10.855
LUX,L0,2014,11.112
LUX,L0,2015,10.797
LUX,L0,2016,11.464
LUX,L0,2017,14.47
LUX,L0,2018,12.11
LUX,L1,2013,8.818999999999999
LUX,L1,2014,8.943999999999999
LUX,L1,2015,10.74
LUX,L1,2016,10.52
LUX,L1,2017,9.01
LUX,L1,2018,9.049
LUX,L2,2013,11.164000000000001
LUX,L2,2014,10.924000000000001
LUX,L2,2015,10.992
LUX,L2,2016,10.725
LUX,L2,2017,10.873
LUX,L2,2018,10.718
LUX,L3,2013,7.129
LUX,L3,2014,8.924
LUX,L3,2015,10.754000000000001
LUX,L3,2016,8.986
LUX,L3,2017,9.152999999999999
LUX,L3,2018,8.606
LUX,L5T8,2013,
LUX,L5T8,2014,
LUX,L5T8,2015,8.232999999999999
LUX,L5T8,2016,7.557
LUX,L5T8,2017,7.246
LUX,L5T8,2018,4.355
MEX,L0,2005,
MEX,L0,2010,
MEX,L0,2011,
MEX,L0,2012,
MEX,L0,2013,26.165
MEX,L0,2014,25.482
MEX,L0,2015,24.213
MEX,L0,2016,24.083000000000002
MEX,L0,2017,24.131999999999998
MEX,L0,2018,23.345
MEX,L1,2013,27.691
MEX,L1,2014,27.409000000000002
MEX,L1,2015,26.927
MEX,L1,2016,26.741999999999997
MEX,L1,2017,26.552
MEX,L1,2018,26.41
MEX,L2,2013,32.24
MEX,L2,2014,32.973
MEX,L2,2015,33.556999999999995
MEX,L2,2016,33.899
MEX,L2,2017,34.046
MEX,L2,2018,33.496
MEX,L3,2013,27.335
MEX,L3,2014,20.607
MEX,L3,2015,19.977
MEX,L3,2016,19.957
MEX,L3,2017,22.965
MEX,L3,2018,22.186999999999998
MEX,L5T8,2013,14.280999999999999
MEX,L5T8,2014,15.527000000000001
MEX,L5T8,2015,15.26
MEX,L5T8,2016,17.476
MEX,L5T8,2017,16.729
MEX,L5T8,2018,18.127
NLD,L0,2005,
NLD,L0,2010,
NLD,L0,2011,
NLD,L0,2012,
NLD,L0,2013,16.275
NLD,L0,2014,16.274
NLD,L0,2015,16.282
NLD,L0,2016,16.774
NLD,L0,2017,16.225
NLD,L0,2018,16.185
NLD,L1,2013,
NLD,L1,2014,16.552
NLD,L1,2015,16.554000000000002
NLD,L1,2016,16.774
NLD,L1,2017,16.65
NLD,L1,2018,16.414
NLD,L2,2013,
NLD,L2,2014,16.174
NLD,L2,2015,16.044
NLD,L2,2016,16.097
NLD,L2,2017,16.12
NLD,L2,2018,16.132
NLD,L3,2013,
NLD,L3,2014,
NLD,L3,2015,18.033
NLD,L3,2016,17.895
NLD,L3,2017,18.03
NLD,L3,2018,17.635
NLD,L5T8,2013,
NLD,L5T8,2014,
NLD,L5T8,2015,15.394
NLD,L5T8,2016,14.762
NLD,L5T8,2017,14.591
NLD,L5T8,2018,14.634
NZL,L0,2005,
NZL,L0,2010,
NZL,L0,2011,
NZL,L0,2012,
NZL,L0,2013,6.013
NZL,L0,2014,5.228
NZL,L0,2015,5.011
NZL,L0,2016,
NZL,L0,2017,4.9030000000000005
NZL,L0,2018,4.894
NZL,L1,2013,16.387999999999998
NZL,L1,2014,16.36
NZL,L1,2015,16.451
NZL,L1,2016,16.570999999999998
NZL,L1,2017,16.903
NZL,L1,2018,16.833
NZL,L2,2013,16.363
NZL,L2,2014,16.244
NZL,L2,2015,16.262
NZL,L2,2016,16.363
NZL,L2,2017,16.563
NZL,L2,2018,16.486
NZL,L3,2013,13.328
NZL,L3,2014,13.113
NZL,L3,2015,12.767000000000001
NZL,L3,2016,12.607999999999999
NZL,L3,2017,12.972999999999999
NZL,L3,2018,12.859000000000002
NZL,L5T8,2013,17.098
NZL,L5T8,2014,17.304000000000002
NZL,L5T8,2015,17.387
NZL,L5T8,2016,17.736
NZL,L5T8,2017,18.07
NZL,L5T8,2018,18.07
NOR,L0,2013,11.405999999999999
